surname,author_nationality,author_gender,notes,species_names,eponyms,eponym_nationality,eponym_gender,
Furuya,Japan,Male,,"Macrodasys gerlachi Papi, 1957",gerlachi,Germany,Male,
Gagne,United States,Male,,"Litigonotus ghinii Gammuto, Serra, Petroni, Todaro, 2024",ghinii,Italy,Male,
Gallo-D'Addabbo,Italy,Female,,"Chaetonotus greuteri Remane, 1927",greuteri,Switzerland,Male,"Chaetonotus greuteri Remane, 1927. **Dedicated to Dr. A. Greuter, who described the species as C.gracilis, preoccupied name [A. Greuter published ""Beiträge zur Systematik der Gastrotrichen in der Schweiz"" in 1917, so it is much likely that he/she was Swiss; gender is unclear]"
Gammuto,Italy,Male,,"Chaetonotus grossoi Minowa, Acosta-Salgado, Garraffoni, 2026",grossoi,Argentine,Male,
Ganapati,India,Male,,"Thaumastoderma heideri Remane, 1926/Chaetonotus heideri Brehm, 1917",heideri,Austria,Male,
Garraffoni,Brazil,Male,,"Ptychostomella higginsi Clausen, 2004",higginsi,United States,Male,
Gerlach,Germany,Male,,"Tetranchyroderma hoonsooi Chang, Lee, 2001",hoonsooi,South Korea,Male,
Ghiviriga,Italy,Female,,"Tetranchyroderma hummoni Lee, Chang, Kim, 2017/Caudichthydium hummoni (Ruppert, 1977)",hummoni,United States,Male,
Giard,France,Male,Alfred Giard,"Chaetonotus illiesi Schwank, 1990",illiesi,Germany,Male,
Gilsa,Germany,Male,,"Oregodasys itoi (Chang, Kubota, Shirayama, 2002)",itoi,Japan,Male,
Gosse,United Kingdom,Male,,"Chaetonotus jaceki Kolicka, 2017",jaceki,Poland,Male,
Greuter,Switzerland,Male,see at eponyms; gender is unclear Ausgust Greuter,"Chaetonotus jakubskii Roszczak, 1935",jakubskii,Poland,Male,
Grilli,Italy,Male,,"Oregodasys katharinae Hochberg, 2010",katharinae,Germany,Female,
Gross,United States,Male,,"Cephalionotus kisielewskii Garraffoni, Araújo, Lourenço, Guidi, Balsamo, 2017",kisielewskii,Poland,Male,
Grosso,Argentina,Male,,"Pseudostomella klauserae Hochberg, 2002",klauserae,United States,Female,
Grünspan,Austria,Female,,"Crasiella kocoti Araújo, Hochberg, 2023",kocoti,United States,Male,
Guadiz,United States,Male,,"Heterolepidoderma kolickae Rataj Križanová, Vďačný, 2023",kolickae,Poland,Female,
Guidi,Italy,Female,,"Musellifer leasiae Sørensen, Araújo, Macheriotou, Braeckman, Smith, Ingels, 2025",leasiae,Italy,Female,
Guiral,France,Male,,"Lepidodasys ligni Hochberg, Atherton, Gross, 2013",ligni,United States,Male,
Hochberg,United States,Male,,"Aspidiophorus lilloensis Grosso, Drahg, 1983",lilloensis,Argentina,Male,
Horlick,United States,Male,Ronald G. Horlick,"Chaetonotus lucksi Voigt, 1958",lucksi,Germany,Male,"Chaetonotus lucksi Voigt, 1958 **Etymology not specified. Probably in honor of a person named Lucks. Voigt (1958) mentions a person ""R. Lucks"" who found specimens of C. lucksi on the underside of leafs of Nuphar lutea. I screened some publications of R. Lucks in Wilko's Rotifera-pdf-collection. And Lucks (1912) finally revealed his full name: Robert Lucks, botanical assitant at the ""landwirtschaftliche Versuchsstation zu Danzig"". Danzig belonged to the German Empire until the end of WWI, then it had the status of a ""free city""."
Hummon,United States,Male,William D. Hummon,"Turbanella lutheri Remane, 1952",lutheri,Finland,Male,
Hwang,South Korea,Male,,"Pseudostomella mandela Todaro, Perissinotto, Bownes, 2015",mandela,South Africa,Male,
Ingels,Belgium,Male,,"Halichaetonotus margaretae Hummon, Balsamo, Todaro, 1992",margaretae,United States,Female,
Jakubski,Poland,Male,,"Chaetonotus mariae Todaro, 1992/Heterolepidoderma mariae Garraffoni, Melchior, 2015",mariae,Italy,Female,
Jondelius,Sweden,Male,,"Cephalodasys mariannae Araújo, 2024",mariannae,Brazil,Female,"Lepidodasys martini Remane, 1926. In his discussion, Remane (1926) is citing some papers on the development of nematodes published by the German medical professional and zoologist Erich Christian Wilhelm Martini. It is likely that Remane aimed to honour E.C.W. Martini. Very questionable biography, see: https://en.wikipedia.org/wiki/Erich_Martini"
Kajihara,Japan,Male,,"Lepidodasys martini Remane, 1926",martini,Germany,Male,
Kånneby,Sweden,Male,,"Ornamentula miyazakii Minowa, Garraffoni, 2021",miyazakii,Japan,Male,
Kaplan,France,Female,"Grégoire Kaplan (1958) Primières observations sur les Gastrotriches psammophiles des cotes du Calvados. In the end of the text you can read, in brackets: (Laboratoire de Biologie marine de Luc-sur-Mer). Since the first name seems French, I think he's French.","Thaumastoderma moebjergi Clausen, 2004",moebjergi,Denmark,Male,
Karling,Finland,Male,,"Chaetonotus murrayi Remane, 1929",murrayi,Canada,Male,
Kieneke,Germany,Male,,"Dactylopodola nadine Todaro, Perissinotto, Bownes, 2015",nadine,South Africa,Female,
Kim,South Korea,Male,,"Chaetonotus napoleonicus Balsamo, Todaro, Tongiorgi, 1992",napoleonicus,France,Male,
Kirk,United States,Male,,"Oregodasys norenburgi Hochberg, 2010",norenburgi,Canada,Male,
Kisielewska,Poland,Female,,"Turbanella otti Schrom, 1970",otti,Austria,Male,
Kisielewski,Poland,Male,,"Turbanella palaciosi Remane, 1953",palaciosi,El Salvador,Male,"Turbanella palaciosi Remane, 1953. no etymology specified, but obviously to honor Prof. Dr. Palacios; subtitle of the publication: ""Ergebnisse eines Aufenthalts am Instituto Tropical von El Salvador"", hence it is much likely that Prof. Palacios' nationality is from El Salvador. Only the gender is still unclear..."
Kolicka,Poland,Female,,"Dasydytes papaveroi Kisielewski, 1991",papaveroi,Brazil,Male,
Konsuloff,Bulgaria,Male,,"Tetranchyroderma papii Gerlach, 1953",papii,Italy,Male,
Kosakyan,Armenia,Female,,"Chaetonotus pawlowskii Kisielewski, 1999",pawlowskii,Poland,Male,
Kotwicki,Poland,Male,,"Turbanella petiti Remane, 1952",petiti,France,Male,
Kristensen,Denmark,Male,,"Aspidiophorus pori Kisielewski, 1999",pori,Romania,Male,
Krivanek,United States,Male,,"Musellifer reichardti Kånneby, Atherton, Hochberg, 2014",reichardti,Denmark,Male,
Kubota,Japan,Male,,"Kryptodasys remanei (Boaden, 1963)/Diplodasys remanei Rao, Ganapati, 1968/Turbanella remanei Forneris, 1961/Chaetonotus remanei Schwank, 1990/Proichthydioides remanei Sudzuki, 1971",remanei,Germany,Male,
Leasi,Italy,Female,,"Thaumastoderma renaudae Kisielewski, 1987",renaudae,France,Female,
Lee,South Korea,Female,,"Xenodasys riedli (Schoepfer-Sterrer, 1969)/Halichaetonotus riedli Schrom, 1972",riedli,Austria,Male,
Lévi,France,Male,,"Diplodasys rothei Kieneke, Narkus, Hochberg, Schmidt-Rhaesa, 2013",rothei,Germany,Male,
Lourenço,Brazil,Female,,"Mesodasys rupperti Hummon, 2008/Caudichthydium rupperti (Mock, 1979)/Diuronotus rupperti Todaro, Balsamo, Kristensen, 2005",rupperti,United States,Male,
Luporini,Italy,Male,,"Chaetonotus schoepferae Thane-Fenchel, 1970",schoepferae,Austria,Female,
Machado,Brazil,Male,,"Chaetonotus schromi Hummon, 1974/Halichaetonotus schromi Kisielewski, 1975",schromi,Germany,Male,
Macheriotou,United States,Female,,"Chaetonotus schultzei Metschnikoff, 1865",schultzei,Germany,Male,
Maeda,Japan,Female,,"Chaetonotus semovitus Kolicka, 2019",semovitus,Poland,Male,
Magagnini,Italy,Male,,"Chaetonotus simrothi Voigt, 1909",simrothi,Germany,Male,
Magpali,Brazil,Female,,"Kryptodasys smithsonian Araújo, Hochberg, 2026",smithsonian ,United States,-,
Maguire,United Kingdom,Female,,"Xenotrichula soikai Schrom, 1966",soikai,Italy,Male,
Maiorova,Russia,Female,,"Megadasys sterreri (Boaden, 1974)",sterreri,Austria,Male,
Marcolongo,Italy,Female,Ines Marcolongo,"Ichthydium stokesi Grosso, 1973",stokesi,United States,Male,
Martin,United Kingdom,Male,,"Arenotus strixinoi Kisielewski, 1987",strixinoi,Brazil,Male,
Marzano,Italy,Female,,"Cephalodasys swedmarki Hummon, 2008/Diplodasys swedmarki Kisielewski, 1987/Tetranchyroderma swedmarki Rao, Ganapati, 1968/Thaumastoderma swedmarki Lévi, 1950/Halichaetonotus swedmarki Schrom, 1972",swedmarki,Sweden,Male,
Melchior,Brazil,Female,,"Paraturbanella teissieri Swedmark, 1954",teissieri,France,Male,
Menon,India,Male,,"Lepidochaetus tirjakovae Rataj Križanová, Vďačný, 2021",tirjakovae,Slovakia,Female,
Metschnikoff,Russia,Male,,"Chaetonotus tobiasi Minowa, Kreutz, Garraffoni, 2026",tobiasi,Sweden,Male,
Minowa,Brazil,Male,,"Dactylopodola todaroi Garraffoni, Di Domenico, Hochberg, 2017",todaroi,Italy,Male,
Mock,Germany,Male,"Herbert Mock, made his PhD in Göttingen under the supervision of Peter Ax","Thaidasys tongiorgii Todaro, Dal Zotto, Leasi, 2015/Setopus tongiorgii (Balsamo, 1982)",tongiorgii,Italy,Male,
Müller,Germany,Male,,"Neodasys uchidai Remane, 1961",uchidai,Japan,Male,"Neodasys uchidai Remane, 1961. ""...eine zweite Art, die ich dem verdienten und erfolgreichen japanischen Zoologen Toru Uchida zu Ehren benenne."" (Remane 1961)"
Murray,Germany,Male,,"Kryptodasys ulfjondeliusi Todaro, Dal Zotto, Kånneby, Hochberg, 2019",ulfjondeliusi,Sweden,Male,
Narkus,Germany,Female,,"Chaetonotus vargai Rudescu, 1967",vargai,Hungary,Male,
Nesteruk,Poland,Female,,"Chaetonotus vechovi Tretyakova, 1992",vechovi,Russia ,Female,"Chaetonotus vechovi Tretyakova, 1992. **unclear attribution: original paper in Russian language"
Nicholas,Australia,Male,,"Bifidochaetus veronicae (Kånneby, 2013)",veronicae,Sweden,Female,
Papi,Italy,Male,Fernando Papi,"Chaetonotus voigti Greuter, 1917/Neogossea voigti (Daday, 1905)",voigti,Germany,Male,
Perissinotto,South Africa,Male,,"Tetranchyroderma weissi Todaro, 2002/Lepidodermella weissi Kirk, 2021",weissi,United States,Male,
Petroni,Italy,Male,,"Turbanella wieseri Hummon, 2010",wieseri,Austria,Male,
Plewka,Germany,Male,,"Heteroxenotrichula wilkeae Ruppert, 1979",wilkeae,Germany,Female,
Pourriot,France,Male,,"Lepidodasys worsaae Hochberg, Atherton, 2011",worsaae,Denmark,Female,
Preobrajenskaja,Russia,Female,Elena Nikolaevna Preobrazhenskaya,"Lepidochaetus zelinkai (Grünspan, 1908)/Lepidodermella zelinkai (Konsuloff, 1913)",zelinkai,Germany,Male,
Kreutz,Germany,Male,,,,,,
Priyalakshmi,India,Female,,,,,,
Rao,India,Male,,,,,,
Rataj Križanová,Slovakia,Female,,,,,,
Remane,Germany,Male,,,,,,
Renaud-Debyser,France,Female,,,,,,
Renaud-Mornant,France,Female,,,,,,
Rieger,Germany,Male,,,,,,
Robbins,United States,Male,,,,,,
Rocha,Brazil,Male,,,,,,
Rodewald,Romania,Male,Ludwig Rodewald,,,,,
Roszczak,Poland,Male,,,,,,
Rothe,Germany,Male,,,,,,
Rougier,France,Male,,,,,,
Rudescu,Romania,Male,Ludovic Rudescu,,,,,
Ruppert,United States,Male,,,,,,
Ruttner-Kolisko,Switzerland,Female,,,,,,
Saito,Japan,Male,,,,,,
Saponi,Italy,Male,,,,,,
Schimkewitsch,Russia ,Male,Vladimir Mikhailovich Shimkevich,,,,,
Schmidt,Germany,Male,,,,,,
Schmidt-Rhaesa,Germany,Male,,,,,,
Schoepfer-Sterrer,Austria,Female,,,,,,
Schrom,Germany,Male,,,,,,
Schultze,Germany,Male,,,,,,
Schwank,Germany,Male,,,,,,
Serra,Italy,Female,,,,,,
Shaw,United States,Male,,,,,,
Shirayama,Japan,Male,,,,,,
Smith,United States,Male,,,,,,
Sochiarelli,Brazil,Female,,,,,,
Sørensen,Denmark,Male,,,,,,
Spencer,United Kingdon,Male,Gotthold Steiner,,,,,
Steiner,Switzerland,Male,"G. Steiner published ""Ein Beitrag zur Kenntnis der Rotatorien- und Gastrotrichenfauna der Schweiz"" in 1913, the publication names Thalwiel-Zürich (Swizerland) as the affiliation of G. Steiner. Gender is still unclear...",,,,,
Stokes,United States,Male,,,,,,
Sudzuki,Japan,Male,,,,,,
Suzuki,Japan,Male,,,,,,
Swedmark,Sweden,Male,,,,,,
Tatem,United Kingdon,Male,Thomas G. Tatem,,,,,
Thane-Fenchel,United States,Female,,,,,,
Thompson,United Kingdom,Male,"Thompson (1891): the text of the publication ends with ""Percy G. Thompson. Bow, E."" (= England); Percy is a male name",,,,,
Todaro,Italy,Male,,,,,,
Tongiorgi,Italy,Male,,,,,,
Tretyakova,Russia,Female,,,,,,
Valkanov,Bulgaria,Male,,,,,,
Varga,Hungary,Male,,,,,,
Vďačný,Slovakia,Male,,,,,,
Visvesvara,India,Male,Govinda S. Visvesvara,,,,,
Vivier,France,Female,,,,,,
Voigt,Germany,Male,,,,,,
Wieloch,Brazil,Male,,,,,,
Wieser,Austria,Male,,,,,,
Wilke,Germany,Female,,,,,,
Yamauchi,Japan,Male,,,,,,
Zawierucha,Poland,Male,,,,,,
Zekely,Germany,Female,,,,,,
Zelinka,Germany,Male,,,,,,
